ID;Nombre;Pr;Vehicle Type;Motor;Engine Index;Engine Type;Gearbox Type
246;R5 New;1160;B407;C3J760;C3J760;C3J;JB5
247;R5 New;1160;B408;F3N716;F3N716;F3N;JB3
248;R5 New;1160;B408;F3N717;F3N717;F3N;MB3
249;R5 New;1160;B40F;C1G702;C1G702;C1G;JB5
250;R5 New;1160;B40F;C1G702;C1G702;C1G;JB4
251;R5 New;1160;B40F;C1G720;C1G720;C1G;JB4
252;R5 New;1160;B40F;C1G720;C1G720;C1G;JB5
253;R5 New;1160;B40F;C1G722;C1G722;C1G;JB5
254;R5 New;1160;B40G;F2N740;F2N740;F2N;JB3
255;R5 New;1160;B40H;C1E756;C1E756;C1E;JB4
256;R5 New;1160;B40H;C1E756;C1E756;C1E;JB5
257;R5 New;1160;B40J;C2J782;C2J782;C2J;JB5
258;R5 New;1160;B40J;C2J789;C2J789;C2J;MB1
259;R5 New;1160;B40K;F2N742;F2N742;F2N;JB3
260;R5 New;1160;B40M;C2J784;C2J784;C2J;JB5
261;R25;1169;B290;J8S708;J8S708;J8S;NG3
262;R25;1169;B292;J7R720;J7R720;J7R;NG3
263;R25;1169;B292;J7R721;J7R721;J7R;AR4
264;R25;1169;B293;Z7W700;Z7W700;Z7W;UN1
265;R25;1169;B293;Z7W701;Z7W701;Z7W;AR4
266;R25;1169;B293;Z7W709;Z7W709;Z7W;AR4
267;R25;1169;B294;J7R726;J7R726;J7R;NG3
268;R25;1169;B295;Z7U702;Z7U702;Z7U;UN1
269;R25;1169;B296;J8S736;J8S736;J8S;NG1
270;R25;1169;B297;J6R706;J6R706;J6R;NG3
271;R25;1169;B297;J6R707;J6R707;J6R;MJ3
272;R25;1169;B297;J6R762;J6R762;J6R;NG3
273;R25;1169;B297;J6R763;J6R763;J6R;MJ3
274;R25;1169;B298;Z7V709;Z7V709;Z7V;4141
275;R25;1169;B29B;J7T708;J7T708;J7T;NG3
276;R25;1169;B29B;J7T732;J7T732;J7T;NG3
277;R25;1169;B29B;J7T733;J7T733;J7T;MJ3
278;R25;1169;B29B;J7T733;J7T733;J7T;AR4
279;R25;1169;B29E;J7T730;J7T730;J7T;NG3
280;R25;1169;B29E;J7T731;J7T731;J7T;MJ3
281;R25;1169;B29E;J7T731;J7T731;J7T;AR4
282;R25;1169;B29F;Z7W706;Z7W706;Z7W;UN1
283;R25;1169;B29F;Z7W707;Z7W707;Z7W;AR4
284;R25;1169;B29G;Z7U700;Z7U700;Z7U;UN1
285;R25;1169;B29H;J7R722;J7R722;J7R;NG3
286;R25;1169;B29H;J7R723;J7R723;J7R;AR4
