ID;NPRO;DPRO;TVEH;ZDOC;REEM;CPRO;CORT;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;BPCL;BPNC;PDUM;PDUA;FAM1;FAMI;NPRV;CADU
4239;7700821520;MANILLA PTA. INT  TW;TW;;;;1111;3-0904;1;0;0;0;1997-12-10;1997-09-29;2792;1814.8;977.2;391.06;0.65;;11;
4240;7700821670;BASE MOTOR IZQUIERDO.   TW;TW;;;;1111;7-0308;4;0;0;0;1998-06-08;1998-03-04;56123;36479.95;19643.05;6196.33;0.65;38;11;
4241;7700821672;BASE MOTOR        TW;TW;;7700411949;;1111;;0;0;0;0;1980-01-01;1980-01-01;65330;42464.5;22865.5;0;0.65;38;11;
4242;7700821781;MANGUERA DEPOSITO 19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;0;0;0;0;;187;13;148
4243;7700821782;BOMBA ELECT L.P.B.TW;TW;;;;1121;3-0207;4;0;0;0;1998-07-07;1998-07-15;47983;28789.8;19193.2;4890.73;0.6;877;11;
4244;7700821783;TAPON BRAZO L/P   TW;TW;;;;1111;3-0906;30;0;0;0;1998-08-05;1998-08-05;451;293.15;157.85;41.91;0.65;451;11;
4245;7700821849;PROTECTOR COND.BY/LY;BY/LY;;;;1111;9-0303;1;0;0;0;1998-08-03;1998-08-21;6671;4336.15;2334.85;1514;0.65;553;11;169
4246;7700821901;PLATINA PARAB     TW;TW;;;;1111;32-0302;5;0;0;0;1998-01-12;1997-12-18;35769;23249.85;12519.15;6624.28;0.65;346;11;325
4247;7700821933;DESHIDRATODOR A/A B5;B5;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;71850;46702.5;25147.5;0;0.65;883;11;99
4248;7700821951;PROTECTOR         TW;TW;;;NV2;1111;6-0909;3;0;0;0;1996-04-04;1996-04-04;4283;2783.95;1499.05;446.69;0.65;105;11;
4249;7700822001;EMBELLECEDOR RING TW;TW;;;;1111;37-0202;14;0;0;0;1998-03-19;1998-06-19;31882;20723.3;11158.7;4157.34;0.65;339;11;679
4250;7700822011;LAME LUNA T.IZQUIERDO.  B5;B5;;;OO8;1171;63-0303;1;0;0;0;1998-10-31;1998-09-14;14394;4318.2;10075.8;1175.78;0.3;381;11;637
4251;7700822013;LAME LUNA T.EXT...B5;B5;;;NV2;1111;32-0102;1;0;0;0;1998-10-31;1998-06-11;14394;9356.1;5037.9;11916.35;0.65;381;11;637
4252;7700822034;SUICHERA          TW;TW;;;NV1;1111;6-0507;1;0;0;0;1997-03-25;1997-03-25;32100;20865;11235;0;0.65;681;11;565
4253;7700822051;MANG/SUP. RADIADOR.  TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;22676;14739.4;7936.6;0;0.65;540;13;148
4254;7700822053;MANGUERA          TW;TW;;;;1111;5-0209;2;0;0;0;1997-01-28;1997-01-28;13580;8827;4753;1484.97;0.65;549;11;
4255;7700822054;MANG/INF. RADIADOR.  TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;61376;39894.4;21481.6;0;0.65;730;13;148
4256;7700822055;MANGUERA SUP RAD  TW;TW;;;;1111;16-0103;2;0;0;0;1996-11-07;1998-10-06;22676;14739.4;7936.6;1538.3;0.65;540;13;148
4257;7700822056;MANGUERA INF RAD  TW;TW;;;;1111;14-0402;4;0;0;0;1997-01-28;1997-01-28;12741;8281.65;4459.35;915.3;0.65;540;13;148
4258;7700822136;FAROLITO LAT.  BY/B5;BY/B5;;;;1511;3-0706;4;0;0;0;1998-06-08;1998-10-20;5103;3316.95;1786.05;609.67;0.65;646;11;553
4259;7700822188;BOTON CALEFACCION TW;TW;;;;1111;3-0607;2;0;0;0;1998-08-03;1998-05-26;42368;27539.2;14828.8;4814.26;0.65;0;11;
4260;7700822193;MANIVELA GATO     TW;TW;;;;1111;1-0504;1;0;0;0;1997-01-28;1997-01-28;7524;4890.6;2633.4;727.54;0.65;927;11;
4261;7700822197;CAJA CONSOLA RAD. LY;LY;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;6596;4287.4;2308.6;0;0.65;337;11;169
4262;7700822226;INTERP.ANT.NIEBLA TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;8788;5712.2;3075.8;0;0.65;688;11;562
4263;7700822231;FACHADA TABLERO   TW;TW;EX 7700822234;;;1111;1-0702;1;0;0;0;1998-07-07;1998-07-07;14068;9144.2;4923.8;1422.88;0.65;;11;
4264;7700822234;FACHADA TABLERO  TW;TW;;7700822231;;1111;16-0503;1;0;0;0;1998-04-03;1998-04-06;15193;9875.45;5317.55;748.79;0.65;;11;
4265;7700822235;CENICERO          TW;TW;;;;1111;5-0504;1;0;0;0;1996-04-04;1996-04-04;17485;11365.25;6119.75;1067.14;0.65;331;11;688
4266;7700822388;PERA BARRA PAL.  TW;TW;;;;1111;4-0405;2;0;0;0;1998-08-03;1998-06-09;5909;3840.85;2068.15;671.03;0.65;;11;
4267;7700822424;BASE TRAS. DER. TW;TW;;;;1111;8-0707;3;0;0;0;1998-03-03;1997-10-23;100557;65362.05;35194.95;12189.7;0.65;134;11;
4268;7700822425;MANILLA PUERTA    TW;TW;;;;1111;6-0205;3;0;0;0;1997-09-29;1998-03-17;20774;13503.1;7270.9;2423.37;0.65;311;11;
4269;7700822426;MANILLA PUERTA    TW;TW;;;;1111;4-0106;2;0;0;0;1997-09-29;1998-07-15;20774;13503.1;7270.9;2423.37;0.65;311;11;
4270;7700822444;INTERRUP.LUZ INT. TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;6920;4498;2422;0;0.65;688;11;562
4271;7700822445;CONMUTADOR LUCES  TW;TW;;7700839681;;1111;;0;0;0;0;1980-01-01;1980-01-01;71052;46183.8;24868.2;0;0.65;679;11;565
4272;7700822608;OBTURA AJUST CINT TW;TW;;;;1111;2-0308;1;0;0;0;1998-04-21;1998-01-27;9269;6024.85;3244.15;1133.68;0.65;997;11;
4273;7700822620;AMORTIGUADOR TRAS.B5;B5;;7700411047;;1421;;0;0;0;0;1980-01-01;1980-01-01;124540;74724;49816;0;0.6;820;13;673
4274;7700822690;CENICERO       19;19;;;;1111;7-0807;2;0;0;0;1998-07-07;1998-04-22;39483;25663.95;13819.05;4361.5;0.65;;11;
4275;7700822691;CENICERO IZQUIERDO.     19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;38334;24917.1;13416.9;0;0.65;331;11;688
4276;7700822714;EMPACADURA PROTECT19;19;;;;1121;;0;0;0;0;1980-01-01;1980-01-01;10680;6408;4272;0;0.6;378;11;205
4277;7700822783;PROTECTOR         TW;TW;;;;1111;8-0501;2;0;0;0;1998-04-21;1998-01-12;10514;6834.1;3679.9;1286.03;0.65;998;11;
4278;7700822794;EXTRACTOR AIRE   TW;TW;EX 7700825932;;;1111;;0;0;0;0;1980-01-01;1980-01-01;6365;4137.25;2227.75;0;0.65;407;11;
4279;7700822915;REJILLA           TW;TW;;;NV1;1111;21-0304;2;0;0;0;1997-12-10;1997-08-13;15592;10134.8;5457.2;1033.9;0.65;996;11;
4280;7700822929;TEMPORIZADOR      TW;TW;;;NV2;1111;6-0706;1;0;0;0;1998-10-31;1998-07-14;52510;34131.5;18378.5;5273.02;0.65;661;11;
4281;7700823039;PALANCA ASIEN TRA.19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2292;1489.8;802.2;0;0.65;416;11;
4282;7700823040;PALANCA ASIEN TRA.19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;2292;1489.8;802.2;0;0.65;416;11;
4283;7700823050;GUAYA EMBRAGUE    TW;TW;;7700430111;;1111;63-0404;1;0;0;0;1997-03-17;1998-04-15;20639;13415.35;7223.65;1299.72;0.65;825;11;232
4284;7700823091;SOPORTE AMORT     19;19;;;;1111;20-0901;3;0;0;0;1998-08-03;1998-09-24;71351;46378.15;24972.85;8069.53;0.65;;11;
4285;7700823124;SOPORTE DEPOSITO  19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;78327;50912.55;27414.45;0;0.65;109;11;325
4286;7700823128;SOPORTE INFERIOR .19;19;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;16230;10549.5;5680.5;0;0.65;109;11;325
4287;7700823207;BISAGRA DELAN IZQUIERDO.LB;LB;;;GG8;1111;5-0405;1;0;0;0;1997-11-05;1997-10-08;46510;30231.5;16278.5;5355.49;0.65;303;11;328
